Item,Description,Qty,Price
AllPartsFenderStringGuide099-4911-000,"American Series String Guides, Set of 2, Chrome, with hardware",1,"TK1,200.00"
AllPartsReplacementNeckforStratSMF,"22 Jumbo modern fretsMaple neck with vintage tinted polyurethane finish12"" radiusNut width 1-5/8""Heel width 2-3/16""Tuning peg hole diameter .340""Truss Rod adjustment at heelNeck thickness .85"" at first fret, .95"" at twelfth fret",1,"TK34,000.00"
AllPartsChromeBarrelStringGuidesAP-0727-010,"Barrel String Guides (2) with screws for Guitar, Chrome plated.",1,TK750.00
AllPartsChromeJackplateAP-0610-010,"Chrome Jackplate for Stratocaster, With Screws",1,TK750.00
AllParts.022AuricapXOCapacitorEP-4392-000,"Auricap XO high resolution capacitor. Sonically transparent . .022 mfd, 600 volt.",1,"TK2,200.00"
PrestigeHeritageStandardSBQM,Prestige Heritage Standard Sunburst Quilt Maple AAA with Original Hardshell Casing,1,"TK105,000.00"
AllPartsCTS500KSealedPremiumAudioPotEP-4086-000,"500K CTS sealed 283 premium pot, special Allparts audio taper, split shaft, with hardware",1,"TK1,500.00"
power accessories,"Voodoo Lab Pedal Power 18-volt Y Cable - 18"" Str-Str Y 18v",1,"TK1,000.00"
AllPartsParchmentPearloidTremoloSpringCoverPG-0556-065,"Tremolo Spring Cover, Parchment Pearloid 3-ply (PP/with B)",1,"TK1,800.00"
AllPartsSunburstFinishedReplacementBodyforStratSBF-3SB,"Replacement body for Stratocaster®, Alder, Tremolo Routing, with 3-Tone Sunburst finish. Stratocaster® is a registered trademark of Fender® Musical Instruments Corp.",1,"TK42,500.00"
AllPartsParchmentPearloidPickguardforStratPG-0552-065,"Pickguard for Stratocaster®, Parchment Pearloid 3-ply (PP/with B) (11 screw holes). Gloss finish with foil conductive shielding on the back.",1,"TK4,750.00"
AllPartsGotohSG381-MGTLockingMiniKeysChromeTK-0768-010,"Gotoh SG381-MGT locking tuning keys, minis, 6-in-line, Chrome with lock knob on back of key, 16:1 ratio. Includes three 18.5mm post length tuners and three 20mm post length tuners.",1,"TK10,000.00"
AllPartsBN-2219-00NGraphTechBQL-5000-00PTFENut,Graph Tech BQL-5000-00 TUSQ XL - Stratocaster® style curved bottom nut. PTFE impregnated for permanent lubrication. Fits most American and import Stratocaster® and Telecaster® style guitars.,1,"TK1,850.00"
WamplerClarksdaleDeltaOverdriveDistortion,"Wampler Clarksdale Delta Overdrive Pedal: Distortion/Overdrive Guitar Pedal with 3-band EQ, Lift/Smooth Toggle Switch, Drive and Volume Controls, and True Bypass Relay Switch",1,"TK19,000.00"
